//DollId	NpcId
48001	22012
48002	22007
48003	22006
48004	12027
48005	10001
48006	15013
48007	14096
48008	22021
48009	13009
48010	13021
48011	11020
48012	12041
48013	13016
48014	14009
48015	11018
48016	11050
48017	28050
48018	18028
48019	38030
48020	38029
48021	27097
48022	12001
48023	13036
48024	13037
48025	15171
48026	11010
48027	15172
48028	13038
48029	12017
48030	14200
48031	14066
48032	45067
48033	28036
48034	27052
48035	18034
48036	38039
48037	38041
48038	11047
48039	12033
48040	38103
48041	42117
48042	11123
48043	12089
48044	12090
48045	12059
48046	41190
48047	14101
48048	27004
48049	27006
48050	47020
48051	27064
48052	27062
48053	27063
48054	38022
48055	47026
48056	38133
48057	12020
48058	12043
48059	12022
48060	12066
48061	11063
48062	27001
48063	27031
48064	27056
48065	27032
48066	38099
48067	38101
48068	38066
48069	28057
48070	38100
48071	0
48072	38079
48073	19001
48074	38093
48075	14652
48076	17774
48077	0
48078	15379
48079	22024
48080	22025
48081	40090
48082	38128
48083	38129
48084	38154
48085	38155
48086	38156
48087	38157
48088	38158
48089	38159
48090	38160
48091	38161
48092	38162
48093	38163
48094	38148
48095	38150
48096	38149
48097	38151
48101	50057
