//MapId	Id	ItemId	X	Y	Delay
10965	1	31099	2228	126	1
10965	2	31100	3079	346	1
10965	3	31101	2406	2025	1
10965	4	31102	269	2136	1
10965	5	31099	388	180	1
10965	6	31100	757	2795	1
10965	7	31101	1468	2878	1
10965	8	31102	1616	1432	1
10965	9	31099	2442	1664	1
10965	10	31100	2950	1799	1
10965	11	31101	3055	1484	1
10965	12	31102	3004	1189	1
10965	13	31099	2928	543	1
10965	14	31100	1650	138	1
10965	15	31101	814	140	1
10965	16	31102	1009	452	1
10965	17	31099	904	2884	1
10965	18	31100	2976	2803	1
10965	19	31101	2948	2440	1
10965	20	31102	3002	2175	1
10965	21	31099	1673	887	1
10965	22	31100	1877	925	1
10965	23	31101	1119	280	1
10965	24	31102	223	933	1
11001	1	32013	674	31	3
11002	1	43004	92	40	5
11011	1	26033	644	785	3
11011	2	33011	545	590	5
11012	1	26006	611	165	3
11021	1	40020	1183	309	4
11101	1	32013	369	304	5
11101	2	26026	641	331	5
11131	1	33001	436	208	4
11132	1	37004	597	342	5
11133	1	26037	126	424	4
11171	1	44031	582	428	3
11172	1	32018	583	425	6
11173	1	34016	252	316	3
11174	1	32018	665	428	6
11201	1	34014	189	414	6
11241	1	26037	297	347	5
11301	1	18752	596	272	6
11307	1	26037	79	359	8
11401	1	43002	1186	561	5
11401	2	44011	764	387	5
11411	1	43054	84	466	5
11411	2	29237	765	489	2
11432	1	43075	786	904	3
12001	1	43016	2365	1225	3
12001	2	40019	1534	345	3
12001	3	42009	1653	244	1
12001	4	43007	1050	1615	3
12001	5	29196	2009	298	3
12002	1	32018	416	584	3
12002	2	43026	531	307	1
12004	1	26026	180	317	3
12004	2	29258	576	320	1
12009	1	27017	552	244	3
12009	2	41011	266	232	3
12011	1	43068	807	311	5
12011	2	43033	386	556	5
12012	1	43053	1115	301	3
12015	1	26027	518	284	3
12018	1	27016	666	209	3
12018	2	26289	714	233	4
12021	1	26005	84	348	6
12021	2	26036	825	669	5
12021	3	32018	130	794	3
12022	1	43047	802	154	3
12031	1	43019	703	352	4
12031	2	27002	102	442	5
12041	1	44062	162	487	3
12041	2	43075	1676	380	3
12061	1	43047	470	209	3
12061	2	43017	753	412	3
12062	1	43003	716	572	4
12062	2	40019	1216	291	3
12063	1	43016	43	588	4
