//MapId	Id	NpcId	X	Y	Coord	SoLuong
11021	9	15138	422	615	0	0
12711	12	19054	966	355	0	0
12999	3	22028	842	355	0	0
12999	4	15049	502	315	0	0
31901	1	27027	442	335	0	0
31074	1	15407	282	475	0	0
31074	2	27027	642	475	0	0
12945	1	20001	602	1115	0	0
12946	1	20001	202	795	0	0
12947	1	20001	922	1195	0	0
12948	1	20001	1162	715	0	0
12950	1	20001	782	175	0	0
12951	1	20001	782	175	0	0
12952	1	20001	762	155	0	0
12953	1	20001	782	175	0	0
12954	1	20001	482	255	0	0
12954	2	27009	422	255	0	0
12959	2	27080	462	655	0	0
12954	3	15049	222	515	0	0
12954	4	15050	422	535	0	0
12949	1	20001	222	355	0	0
12949	3	13037	102	375	0	0
12949	4	15049	322	315	0	0
10701	1	19018	1370	340	0	0
10701	2	19018	990	380	0	0
10701	3	19018	590	420	0	0
10701	4	19018	1490	460	0	0
10801	1	33001	590	540	0	0
10801	2	33002	870	440	0	0
10801	3	33002	950	460	0	0
10801	4	15009	1430	660	0	0
10801	5	33003	310	580	0	0
10801	6	33003	230	600	0	0
10802	1	33001	590	540	0	0
10802	2	33002	870	440	0	0
10802	3	33002	950	460	0	0
10802	4	15009	1430	660	0	0
10802	5	33003	310	580	0	0
10802	6	33003	230	600	0	0
10803	1	33001	590	540	0	0
10803	2	33002	870	440	0	0
10803	3	33002	950	460	0	0
10803	4	15009	1430	660	0	0
10803	5	33003	310	580	0	0
10803	6	33003	230	600	0	0
10804	1	33001	590	540	0	0
10804	2	33002	870	440	0	0
10804	3	33002	950	460	0	0
10804	4	15009	1430	660	0	0
10804	5	33003	310	580	0	0
10804	6	33003	230	600	0	0
10805	1	33001	590	540	0	0
10805	2	33002	870	440	0	0
10805	3	33002	950	460	0	0
10805	4	15009	1430	660	0	0
10805	5	33003	310	580	0	0
10805	6	33003	230	600	0	0
10806	1	33001	590	540	0	0
10806	2	33002	870	440	0	0
10806	3	33002	950	460	0	0
10806	4	15009	1430	660	0	0
10806	5	33003	310	580	0	0
10806	6	33003	230	600	0	0
10807	1	33001	590	540	0	0
10807	2	33002	870	440	0	0
10807	3	33002	950	460	0	0
10807	4	15009	1430	660	0	0
10807	5	33003	310	580	0	0
10807	6	33003	230	600	0	0
10808	1	33001	590	540	0	0
10808	2	33002	870	440	0	0
10808	3	33002	950	460	0	0
10808	4	15009	1430	660	0	0
10808	5	33003	310	580	0	0
10808	6	33003	230	600	0	0
10809	1	33001	590	540	0	0
10809	2	33002	870	440	0	0
10809	3	33002	950	460	0	0
10809	4	15009	1430	660	0	0
10809	5	33003	310	580	0	0
10809	6	33003	230	600	0	0
10810	1	33001	590	540	0	0
10810	2	33002	870	440	0	0
10810	3	33002	950	460	0	0
10810	4	15009	1430	660	0	0
10810	5	33003	310	580	0	0
10810	6	33003	230	600	0	0
10811	1	33001	590	540	0	0
10811	2	33002	870	440	0	0
10811	3	33002	950	460	0	0
10811	4	15009	1430	660	0	0
10811	5	33003	310	580	0	0
10811	6	33003	230	600	0	0
10812	1	33001	590	540	0	0
10812	2	33002	870	440	0	0
10812	3	33002	950	460	0	0
10812	4	15009	1430	660	0	0
10812	5	33003	310	580	0	0
10812	6	33003	230	600	0	0
10813	1	33001	590	540	0	0
10813	2	33002	870	440	0	0
10813	3	33002	950	460	0	0
10813	4	15009	1430	660	0	0
10813	5	33003	310	580	0	0
10813	6	33003	230	600	0	0
10814	1	33001	590	540	0	0
10814	2	33002	870	440	0	0
10814	3	33002	950	460	0	0
10814	4	15009	1430	660	0	0
10814	5	33003	310	580	0	0
10814	6	33003	230	600	0	0
10815	1	33001	590	540	0	0
10815	2	33002	870	440	0	0
10815	3	33002	950	460	0	0
10815	4	15009	1430	660	0	0
10815	5	33003	310	580	0	0
10815	6	33003	230	600	0	0
10816	1	33001	590	540	0	0
10816	2	33002	870	440	0	0
10816	3	33002	950	460	0	0
10816	4	15009	1430	660	0	0
10816	5	33003	310	580	0	0
10816	6	33003	230	600	0	0
10817	1	33001	590	540	0	0
10817	2	33002	870	440	0	0
10817	3	33002	950	460	0	0
10817	4	15009	1430	660	0	0
10817	5	33003	310	580	0	0
10817	6	33003	230	600	0	0
10818	1	33001	590	540	0	0
10818	2	33002	870	440	0	0
10818	3	33002	950	460	0	0
10818	4	15009	1430	660	0	0
10818	5	33003	310	580	0	0
10818	6	33003	230	600	0	0
10819	1	33001	590	540	0	0
10819	2	33002	870	440	0	0
10819	3	33002	950	460	0	0
10819	4	15009	1430	660	0	0
10819	5	33003	310	580	0	0
10819	6	33003	230	600	0	0
10820	1	33001	590	540	0	0
10820	2	33002	870	440	0	0
10820	3	33002	950	460	0	0
10820	4	15009	1430	660	0	0
10820	5	33003	310	580	0	0
