//Id	Name	Sp	Point	ThuocTinh	IdDK1	IdDK2	IdDK3	IdDK4	IdDK5	IdDK6	LvMax	Type	DoManh	SLDanh	Reborn	Combo	Delay	TroiBuff
10000	Đấu vật	0	0	0	0	0	0	0	0	0	1	1	0	1	0	85	1200	0
10001	Thuật mưa đá	9	1	1	0	0	0	0	0	0	10	2	1	1	0	85	1900	0
10002	Lôi mộc	13	3	1	10001	0	0	0	0	0	10	2	2	1	0	85	2000	0
10003	Cạm bẫy	14	3	1	10001	0	0	0	0	0	10	2	2	1	0	85	2000	0
10004	Cây tinh	18	6	1	10002	0	0	0	0	0	10	3	3	1	0	85	2600	222
10005	Ném đá	22	7	1	10003	0	0	0	0	0	10	1	3	3	0	87	2700	0
10006	Địa nha	28	9	1	10004	0	0	0	0	0	10	1	2	1	0	84	900	0
10007	Đá lăn	34	10	1	10005	0	0	0	0	0	10	1	5	2	0	87	1700	0
10008	Phi sa tẩu thạch	38	10	1	10005	0	0	0	0	0	10	2	20	5	0	85	2400	0
10009	Giải kết giới	10	1	1	10006	0	0	0	0	0	1	16	5	1	0	85	2200	0
10010	kết giới	33	12	1	10006	0	0	0	0	0	10	4	5	1	0	85	800	221
10011	Thái Sơn áp đỉnh	40	14	1	10007	0	0	0	0	0	10	2	6	1	0	85	3300	0
10012	Long trời lỡ đất	50	18	1	10008	0	0	0	0	0	10	2	40	8	0	85	3700	0
10013	Vạn mã phi đằng	45	14	1	10008	0	0	0	0	0	10	2	30	8	0	85	2600	0
10014	Băng tan	10	1	1	10010	0	0	0	0	0	1	16	6	1	0	85	2200	0
10015	Gương	40	18	1	10010	0	0	0	0	0	5	4	6	1	0	85	1500	221
10016	Chúa tể mham thạch	120	0	1	0	0	0	0	0	0	10	15	1	3	0	85	5200	0
10017	Triệu hồi tiểu thạch	120	0	1	0	0	0	0	0	0	1	2	2	6	0	85	5100	0
10018	Triệu hồi trung thạch	120	0	1	0	0	0	0	0	0	1	2	2	6	0	85	5100	0
10019	Triệu hồi đại thạch	120	0	1	0	0	0	0	0	0	1	2	3	8	0	85	5000	0
10020	Địa chấn chú	0	1	1	10009	10011	10012	10013	10014	10015	10	19	1	1	1	85	0	0
10021	Kiếm phá đại địa	36	8	1	10020	0	0	0	0	0	10	1	5	1	1	84	1800	0
10022	Xé rẽ đại địa	44	7	1	10020	0	0	0	0	0	10	2	7	1	1	85	3300	0
10023	Tượng Vương Tru Sát	54	13	1	10024	0	0	0	0	0	10	2	8	6	1	85	2700	0
10024	Phá quét thiên quân	48	9	1	10022	0	0	0	0	0	10	2	7	7	1	85	2700	0
10025	Địa trận phá diệt	46	11	1	10021	0	0	0	0	0	5	15	1	3	1	85	1700	221
10026	Thánh kính	50	15	1	10025	0	0	0	0	0	5	4	6	1	1	85	1700	221
10027	Chấn Ba	56	8	1	0	0	0	0	0	0	10	2	70	1	2	85	3400	0
10028	Hồn Phủ	52	8	1	0	0	0	0	0	0	10	1	30	1	2	84	3000	0
10029	Thiết Pháo	56	7	1	0	0	0	0	0	0	10	1	10	3	2	87	2700	0
10030	Tinh Pháo	44	10	1	0	0	0	0	0	0	10	2	40	6	2	85	3000	0
10031	Kim Chung Tráo	56	12	1	0	0	0	0	0	0	10	4	10	2	2	85	3500	0
10032	Xung Phong	72	8	1	0	0	0	0	0	0	10	2	150	8	2	85	3500	0
10033	Bộc Cầm	44	8	1	0	0	0	0	0	0	5	3	20	1	2	85	3000	222
10034	Vương Sát	84	15	1	0	0	0	0	0	0	10	2	200	8	2	85	3400	222
10035	Sa bạo chi loạn	67	1	1	0	0	0	0	0	0	10	2	5	5	0	85	2400	0
10036	Sa khau chi vũ	65	1	1	0	0	0	0	0	0	10	2	5	5	0	85	2400	0
